Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-05-14,26.0,1.0,0.9615384615384616,3473.0,138.0,0.9602649006622517
2023-05-15,26.0,1.0,0.9615384615384616,3499.0,139.0,0.9602743641040298
2023-05-16,26.0,2.0,0.9230769230769231,3525.0,141.0,0.96
2023-05-17,26.0,1.0,0.9615384615384616,3551.0,142.0,0.9600112644325542
2023-05-18,26.0,0.0,1.0,3577.0,142.0,0.9603019289907744
2023-05-19,24.0,0.0,1.0,3601.0,142.0,0.9605665093029714
2023-05-20,26.0,0.0,1.0,3627.0,142.0,0.9608491866556382
2023-05-21,26.0,0.0,1.0,3653.0,142.0,0.9611278401313988
2023-05-22,26.0,0.0,1.0,3679.0,142.0,0.961402555042131
2023-05-23,26.0,0.0,1.0,3705.0,142.0,0.9616734143049932
2023-05-24,26.0,1.0,0.9615384615384616,3731.0,143.0,0.9616724738675958
2023-05-25,26.0,1.0,0.9615384615384616,3757.0,144.0,0.961671546446633
2023-05-26,26.0,2.0,0.9230769230769231,3783.0,146.0,0.9614062913031985
2023-05-27,26.0,1.0,0.9615384615384616,3809.0,147.0,0.9614071934891047
2023-05-28,26.0,1.0,0.9615384615384616,3835.0,148.0,0.9614080834419817
2023-05-29,26.0,0.0,1.0,3861.0,148.0,0.9616679616679616
2023-05-30,26.0,0.0,1.0,3887.0,148.0,0.9619243632621559
2023-05-31,26.0,0.0,1.0,3913.0,148.0,0.9621773575261947
2023-06-01,26.0,0.0,1.0,3939.0,148.0,0.9624270119319625
2023-06-02,26.0,0.0,1.0,3965.0,148.0,0.9626733921815889
2023-06-03,26.0,0.0,1.0,3991.0,148.0,0.9629165622650965
2023-06-04,26.0,0.0,1.0,4017.0,148.0,0.9631565845158078
2023-06-05,26.0,0.0,1.0,4043.0,148.0,0.9633935196636161
2023-06-06,24.0,0.0,1.0,4067.0,148.0,0.9636095402016228
2023-06-07,26.0,0.0,1.0,4093.0,148.0,0.9638407036403616
2023-06-08,26.0,0.0,1.0,4119.0,148.0,0.9640689487739743
2023-06-09,26.0,0.0,1.0,4145.0,148.0,0.9642943305186972
2023-06-10,26.0,0.0,1.0,4171.0,148.0,0.9645169024214817
2023-06-11,26.0,0.0,1.0,4197.0,148.0,0.9647367167024065
2023-06-12,26.0,0.0,1.0,4223.0,148.0,0.9649538242955245
2023-06-13,26.0,0.0,1.0,4249.0,148.0,0.965168274888209
2023-06-14,26.0,0.0,1.0,4275.0,148.0,0.9653801169590643
2023-06-15,26.0,0.0,1.0,4301.0,148.0,0.9655893978144617
2023-06-16,26.0,0.0,1.0,4327.0,148.0,0.9657961636237578
2023-06-17,26.0,1.0,0.9615384615384616,4353.0,149.0,0.9657707328279348
2023-06-18,26.0,1.0,0.9615384615384616,4379.0,150.0,0.9657456040191824
2023-06-19,26.0,1.0,0.9615384615384616,4405.0,151.0,0.9657207718501702
2023-06-20,26.0,1.0,0.9615384615384616,4431.0,152.0,0.9656962310990747
2023-06-21,26.0,2.0,0.9230769230769231,4457.0,154.0,0.9654476105003366
2023-06-22,26.0,2.0,0.9230769230769231,4483.0,156.0,0.9652018737452599
2023-06-23,26.0,2.0,0.9230769230769231,4509.0,158.0,0.9649589709469949
2023-06-24,26.0,1.0,0.9615384615384616,4535.0,159.0,0.9649393605292172
2023-06-25,26.0,1.0,0.9615384615384616,4561.0,160.0,0.9649199736899803
